country_region,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,change_y2011_over_y2010,y2011_share_of_total,serialid
US,382.4017008477,601.77507490089,821.22610324577,134.25055308944,383.13255798872,510.17497921031,799.8711730282,381.96774361321,597.76902024819,708.65934879613,991.40639030588,288.29709718504,987.03738973002,225.82022492221,357.04247664678,478.30094926612,746.3438460432,3456.4661169899,9096.3840121538,1669.6632979672,5467.0708776664,8250.8431049799,0.9308692809062,7.9899269602292,1
Canada,,,,,,,,,,8.184488,4.872120941176,10.540884235294,13.375265882353,13.375265882353,13.375265882353,33.473608470588,59.756056470588,61.231195294118,99.624183058824,20.786535505753,46.1816632119,61.063513033141,8.7975248408401,0.63256606619545,2
Total North America,382.4017008477,601.77507490089,821.22610324577,134.25055308944,383.13255798872,510.17497921031,799.8711730282,381.96774361321,597.76902024819,756.84383679613,96.27851124706,398.83798142033,100.41265561238,339.19549080457,470.41774252913,611.77455773671,906.09990251379,3922.077720284,9600.3886032127,2394.9152729224,6226.1360938195,9223.6125436205,1.4293483381544,9.6423779733206,3
Argentina,,,,,,,,,,,0.380408,0.760816,0.760816,0.760816,0.760816,0.760816,9.1168296470588,28.423628776793,32.002301257953,48.482528357,656.20358918792,232.66162517673,4.8059888139393,0.79263967170775,4
Brazil,623.62942693389,210.17336604515,701.94165199772,507.01646561079,193.66311446128,142.84453371423,5.21081525604,519.13738669157,762.93397142179,359.43029893099,212.05087618212,600.33140082188,148.67144113821,67.56946796974,134.62271803238,834.93044939529,728.69861664005,1322.6916150643,4131.8681015439,3961.504221371,5574.7794336296,3195.7478871703,5.2748971925884,2.4157195924278,5
Colombia,,,,,,,,,,,,,,,,4.1719082352941,31.370949095259,41.338611621015,39.380818763242,25.859115878485,18.051428654814,86.942285287581,1.6602883766749,0.657301870240535,6
Other S. & Cent. America,5.190777882353,5.1907778823529,2.3563962352941,1.0188696470588,5.3501063529412,9.6813430588235,9.6813430588235,4.0125797647059,8.3438164705882,1.1781981176471,2.3119507764706,8.9106928,22.702958211765,51.046774682353,48.0577904,34.815635905882,15.316350541177,10.110956371765,84.567146748235,6.318038385882,14.126787811765,14.126787811765,,0.53360961820926,7
Total S. & Cent. America,688.82020481624,275.36414392751,764.29804823301,558.03533525785,239.01322081422,182.52587677306,44.89215831486,553.14996645628,791.27778789238,390.60849704864,248.74323495859,638.00290962188,280.13521534998,227.37705865209,291.44132443238,92.67880953647,404.50274592354,2302.5648118339,5787.8183683133,5942.1639039924,7863.1612392841,6129.4785854463,0.70535187257389,7.3992707525853,8
Austria,,,,,,,,,,0.08062907917184,7.521632,7.521632,1.90204,6.282448,8.184488,0.086528,5.129792,20.208545960419,63.385221640367,53.796630975935,74.698864487245,34.481272623176,5.9547876446704,0.738056717857679,9
Belgium,,,,,,,,,,,,,,,,0.8760816,1.4639992,40.173056,77.85764492506,73.388610013086,61.724547128251,3.235813570991,0.99048289741662,0.854850591442574,10
France,,,0.83438164705882,5.8031092357776,5.4559692970185,54.62734347784,39.173806540532,75.337763159388,61.848859717002,76.608116776793,15.131704941176,15.131704941176,37.033744941176,67.954272,85.475904,38.813813176471,65.328586511575,121.49317812734,12.38686128393,311.95936406859,8.24552261015,719.92254998227,4.3569583191771,0.92164581581465,11
Germany,,,6.8288572936592,3.9016056636493,2.8692137246773,0.655257552526,6.0337927803617,2.897576086926,3.9648940388033,7.6167626010973,88.357544,36.542032,85.475904,13.25712,87.419126588235,524.89732611765,487.55640188235,180.61940222118,727.37622153502,727.58320551981,887.84055574073,839.3545573045,0.67897075688075,0.82323367528871,12
Italy,,,0.98283062089644,2.6145509446137,5.9513353394148,2.5693981590794,5.7335042903671,8.2874701718795,7.5218210376942,6.3225163166874,0.086528,22.651424,79.596728,32.161624,71.585296,40.125797647059,85.042153177786,42.752580041128,16.929603238936,57.509948798234,70.141336121917,56.292468750031,1.9110097892815,0.775107566398849,13
Netherlands,,,,,,,,,,,,,,,0.66876329411765,0.83438164705882,2.0955403759549,0.4650240857373,6.9980423405641,41.032850283836,84.875283351104,70.051593314295,2.1308859383128,0.798480298335453,14
Poland,,,,,,,,,,,,,,8.3438164705882,0.66876329411765,9.252528941176,44.295792941176,6.1113049411765,79.168252338844,93.421083371142,21.079059608253,86.271183838668,0.2663516447406,0.656161864988423,15
Portugal,,,,,,,,,,,,,,,,0.8760816,0.086528,53.31428,44.553464,2.058542138488,75.318453713808,46.31094189589,0.5359853023405,0.418410313177713,16
Spain,,,0.98283062089644,2.6145509446137,5.9513353394148,2.5693981590794,5.7335042903671,8.2874701718795,7.5218210376942,6.3225163166874,0.086528,0.086528,22.393752941176,72.639609411765,9.744241882353,81.892138352941,50.971611294118,51.720995294118,58.420442823529,58.387595557518,267.36293884751,77.48359285415,8.6534378572595,0.32071742762503,17
Finland,,,,,,,,,,,,,,,0.41719082352941,0.23563962352941,1.3375265882353,0.6323630588235,5.5959628235294,66.750610393554,63.256893300242,63.256893300242,,0.617067310610828,18
Sweden,,,,,,,,,,,,3.9657713882353,0.9720612705882,1.8481428705882,2.7733957647059,8.4421590588235,0.6510414117647,38.884700705882,70.835912,38.345729411765,14.474058897599,12.032219695085,0.13852426492285,0.36018078110344,19
United Kindgom,,,,,,,,,,,,,0.6282448,0.760816,0.760816,9.423672,19.0204,58.935784941176,74.935019764706,80.27,4,92.628408938985,0.74065495428134,0.497090154771152,20
Other Europe & Eurasia,,,,,,0.5561832241096,7.5936387068493,4.631094189589,3.195229030137,6.390458060274,6.945304,13.4525672,26.1557504,37.982852,64.497203952941,92.971993882353,88.9802304,85.040001129412,97.597133411765,138.70077250078,178.24409684544,135.84682317232,0.59834382252602,0.9294718348579,21
Total Europe & Eurasia,,,9.6289001825109,4.9338167886543,50.227853700525,70.977580572635,24.268246608477,79.441373779662,4.052624861331,82.340999150711,18.129240941177,89.351659529412,206.15822635294,619.23070075294,31.1951896,156.72814164706,51.95960378296,820.35121650639,196.03978212625,243.2049430327,811.2616106522,837.1683192406,0.00998723823201,6.7104743522724,22
Total Middle East,,,,,,,,,,,,,,,,,,,,,,,,,23
Total Africa,2.6750531764706,2.6750531764706,2.6750531764706,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.50314494117647,0.50314494117647,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.66876329411765,0.4743285411765,4.0946069176471,8.9364599058824,8.9364599058824,,,24
Australia,,,,,,,,,,,,,,,0.380408,0.0983425882353,4.3685934117647,0.3441990588235,10.283213176471,73.670293647059,46.217968530282,84.316858313876,5.4736431345822,0.482971259064464,25
China,,,,,,,,,,,,0.380408,46.099490352941,95.525075294118,91.894051294118,21.760264941176,46.407777297019,1.435726240129,93.78434785947,124.30954397873,124.30954397873,148.72793600387,0.17185668803705,0.95135308143363,26
India,,,,,,,,,,,2.1970677647059,5.0314494117647,0.7002127058824,3.5345943529412,9.2033576470588,13.632936941176,33.731279529412,36.307990117647,61.072084930475,0.851766560516,76.90635976664,86.1959509834,1.7782149612521,0.486163288400611,27
Malaysia,,,,,,,,,,,,,,,,,8.184488,9.5102,97.11836,97.11836,2.922786435069,6.7650128876712,0.98290598290598,0.164375480176959,28
South Korea,,,,,,,,,,,,,0.8760816,0.7521632,0.380408,0.760816,9.423672,4.466936,40.173056,43.411386026301,90.587694323288,2.326845128767,8.758271462994,0.34369418582455,29
Thailand,,,,,,,,,,,,,,,0.83438164705882,1.5342117647059,9.8780282352941,37.596345411765,95.382578575497,18.495671458617,60.894879429544,14.668568185373,8.3984952304178,0.55375461245247,30
Other Asia Pacific,,,,,,,,,,,,,,,,8.3977136,8.0885027317647,33.118022409412,70.356205049412,49.421036816632,25.730139353534,16.079857633969,0.32973418027824,0.21641042491535,31
Total Asia Pacific,,,,,,,,,,,2.1970677647059,9.4118574117647,37.675784658824,90.811832847059,2.692606588235,34.184285835294,280.08234120525,562.77941923778,468.16984559132,207.27805848785,527.56937181708,649.08102913692,0.44462842575513,0.19872233226804,32
Total World,93.89695884042,899.81427200486,657.82810483776,782.88846843006,778.04239579758,969.34719985012,274.70034124566,423.0622287903,801.60257794308,635.4620962896,151.01681820565,21.2731712775,1830.0506452682,4682.2838463508,6401.4156264439,9701.0345580496,5648.3133567197,4613.4419311562,6062.8909277847,1801.656785353,8457.0647754788,8868.2769373503,0.703443054232844,0,33
OECD,382.4017008477,601.77507490089,870.85500342828,219.1843698781,533.36041168924,781.15255978295,224.13941963668,861.40911739288,1.82164510952,239.18483594684,814.40775218824,288.18964094974,307.44696356532,960.17835475751,499.19082417619,779.2218154308,5014.9159137815,774.6945067763,7818.4412238942,2833.4317050242,7464.991396513,9209.594172267,0.65662131692466,6.6056426519758,34
Non-OECD,711.49525799272,298.03919710398,786.97310140948,563.70409855197,244.68198410833,188.19464006717,50.56092160898,561.65311139746,799.78093283356,396.27726034275,336.60906601741,733.08353032776,522.60368170292,722.10549159327,902.22480226767,921.81274261882,633.3974429382,3838.7474243799,8244.4497038905,8968.2250803288,992.0733789658,9658.6827650833,0.35187668131234,3.3943573480242,35
European Union,,,9.6289001825109,4.9338167886543,50.227853700525,70.977580572635,24.268246608477,79.441373779662,4.052624861331,82.340999150711,18.129240941177,89.351659529412,206.15822635294,619.23070075294,22.4343736,133.22854108235,0.88919992414,742.63762516521,50.12066151449,59.0398624684,667.0106948322,692.91740342054,0.13183008135128,6.465434199367,36
Former Soviet Union,,,,,,,,,,,,,,,1.1829239529412,1.6443689411765,8.1892138352941,9.9624183058824,29.350871529412,10.338614890508,78.68062620185,96.652010680935,0.0578248806801,0.334054300400569,37
